ID,Name,Temperature,Rainfall,Spawn Chance,Root Height,Height Variation,Types,Class
244,SugarPlains,0.5,0.5,0.1,0.05,0.1,PLAINS,com.valentin4311.candycraftmod.BiomeGenCandyPlains
245,BambooForest,0.7,0.8,0.1,0.1,0.2,FOREST,growthcraft.bamboo.BiomeGenBamboo
246,CandyCraft Dungeon,0.5,0.5,0.1,0.1,0.2,PLAINS,com.valentin4311.candycraftmod.BiomeGenVoid
247,SugarRiver,0.5,0.5,0.1,-0.5,0.0,"RIVER, PLAINS",com.valentin4311.candycraftmod.BiomeGenCandyRiver
248,Elysian Fields M,0.85,0.5,0.1,0.2,0.4,HILLS,net.minecraft.world.biome.BiomeGenMutated
249,Elysian Forest M,0.85,0.5,0.1,0.2,0.4,HILLS,net.minecraft.world.biome.BiomeGenMutated
250,Fungal Forest M,0.9,0.95,0.1,0.2,0.4,"HOT, WET, HILLS",net.minecraft.world.biome.BiomeGenMutated
251,Submerged Swamp M,0.75,0.85,0.1,0.2,0.4,HILLS,net.minecraft.world.biome.BiomeGenMutated
252,Subterranean Savannah M,0.95,0.05,0.1,0.2,0.4,"HOT, DRY, HILLS",net.minecraft.world.biome.BiomeGenMutated
253,Ulterior Outback M,1.1,0.2,0.1,0.2,0.4,"HOT, HILLS, SANDY",net.minecraft.world.biome.BiomeGenMutated
254,Undergound Jungle M,1.35,0.9,0.2,0.2,0.4,"HOT, WET, HILLS",net.minecraft.world.biome.BiomeGenMutated
255,Volcanic Desert M,1.9,0.2,0.1,0.2,0.4,"HOT, HILLS, SANDY",net.minecraft.world.biome.BiomeGenMutated
